,Name,Height,Weight,Position,Foot,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Age,Nation,League,Team
989,Fran Beltrán,"165cm / 5'5""",64kg / 141lb,CDM,Right,58,56,77,75,76,66,26,Spain,LALIGA EA SPORTS,RC Celta
990,Saïd Benrahma,"172cm / 5'8""",67kg / 148lb,LW,Right,73,75,75,82,40,57,29,Algeria,Ligue 1 McDonald's,OL
991,Ramy Bensebaini,"187cm / 6'2""",82kg / 181lb,LB,Left,75,70,70,75,78,77,29,Algeria,Bundesliga,Borussia Dortmund
992,Nabil Bentaleb,"187cm / 6'2""",78kg / 172lb,CDM,Left,52,72,77,79,71,75,30,Algeria,Ligue 1 McDonald's,LOSC Lille
993,Mergim Berisha,"188cm / 6'2""",84kg / 185lb,ST,Right,71,79,72,75,37,72,26,Germany,Bundesliga,TSG Hoffenheim
994,Jan-Niklas Beste,"175cm / 5'9""",66kg / 146lb,LM,Left,78,72,79,76,60,64,26,Germany,Liga Portugal,SL Benfica
995,Veljko Birmančević,"179cm / 5'10""",69kg / 152lb,RW,Right,78,73,74,81,38,59,27,Serbia,Česká Liga,Sparta Praha
996,Nathalie Björn,"174cm / 5'9""",67kg / 148lb,CB,Right,77,40,71,65,79,78,27,Sweden,Barclays WSL,Chelsea
997,Florencia Bonsegundo,"168cm / 5'6""",59kg / 130lb,CAM,Right,74,81,77,81,30,69,31,Argentina,Liga F,Madrid CFF
998,Olivier Boscagli,"181cm / 5'11""",68kg / 150lb,CB,Left,67,50,75,76,80,75,27,France,Eredivisie,PSV
999,Lilian Brassier,"186cm / 6'1""",78kg / 172lb,CB,Left,69,37,65,69,79,75,25,France,Ligue 1 McDonald's,OM
